Name,Team,Position,Games,FGM,FGA,FTM,FTA,Rebounds,Assists,Steals,Blocks,TO,Points
Bradley Beal,WAS,SG PG,66,580.7,1251.7,337,394.2,303.9,404.2,63.2,24.1,202.6,1627.9
John Wall,LAC,SG PG,63,294.9,730.2,161.5,214.6,132.4,337,57.2,27.1,175.5,833.5
Otto Porter Jr.,TOR,SF PF,67,195.6,438.3,62.2,77.2,362.1,93.3,66.2,29.1,40.1,533.6
Garrett Temple,NO,SG SF,43,74.2,190.6,20.1,26.1,125.4,53.2,24.1,14,27.1,206.6
Terrence Ross,ORL,SG SF,66,212.6,526.6,102.3,117.4,180.5,103.3,35.1,13,68.2,608.8
Jonas Valanciunas,NO,C,74,498.5,869.6,194.6,249.7,821.5,157.5,40.1,60.2,150.4,1237.7
DeMar DeRozan,CHI,SG SF PF,77,721.2,1414.2,536.6,618.9,377.1,389.2,69.2,23.1,187.6,2029.1
Kyle Lowry,MIA,PG,66,275.8,639.9,178.5,206.6,297.9,438.3,68.2,17.1,160.5,870.6
Lou Williams,,SG PG,79,290.9,716.1,177.5,205.6,145.4,247.7,37.1,8,118.4,836.5
Patrick Patterson,,SF PF,29,30.1,71.2,8,10,39.1,8,2,0,8,90.3
James Johnson,IND,PF,62,140.4,301.9,37.1,63.2,215.6,130.4,30.1,34.1,48.1,341
Anthony Davis,LAL,PF C,62,565.7,1112.3,332,432.3,569.7,189.6,75.2,120.4,131.4,1500.5
Eric Gordon,HOU,SG SF,66,268.8,630.9,129.4,163.5,130.4,158.5,34.1,19.1,95.3,794.4
Jrue Holiday,MIL,PG,72,516.5,1062.2,143.4,189.6,325,485.5,118.4,32.1,193.6,1316.9
Draymond Green,GS,PF C,63,178.5,393.2,80.2,108.3,453.4,431.3,87.3,59.2,176.5,470.4
Harrison Barnes,SAC,SF PF,77,396.2,833.5,272.8,332,416.2,191.6,52.2,15,112.3,1194.6
Stephen Curry,GS,PG,69,565.7,1230.7,303.9,329,348,417.2,87.3,20.1,213.6,1740.2
Klay Thompson,GS,SG SF,62,487.5,1135.4,91.3,101.3,252.8,169.5,40.1,33.1,90.3,1289.9
Andre Iguodala,GS,SF PF C,56,61.2,153.5,15,25.1,118.4,99.3,34.1,19.1,37.1,167.5
Justin Holiday,ATL,SG SF,75,226.7,550.6,54.2,67.2,197.6,106.3,58.2,31.1,57.2,660
Giannis Antetokounmpo,MIL,PF C,72,783.3,1402.2,523.6,768.3,834.5,422.3,79.2,94.3,232.7,2171.5
Ersan Ilyasova,,SF PF,29,39.1,91.3,14,14,70.2,15,8,7,9.1,107.3
Khris Middleton,MIL,SF PF,70,510.5,1082.2,244.7,270.8,384.1,375.1,80.2,15,194.6,1435.3
Michael Carter-Williams,,SG PG,73,119.4,292.9,70.2,96.3,156.5,127.4,41.1,21.1,72.2,327
Jimmy Butler,MIA,SF PF,64,437.3,915.7,474.4,552.7,390.2,359.1,106.3,29.1,139.4,1385.1
Derrick Rose,NY,PG,51,220.7,471.4,73.2,80.2,135.4,180.5,37.1,17.1,64.2,568.7
Taj Gibson,WAS,PF C,79,127.4,220.7,48.1,62.2,239.7,52.2,26.1,41.1,29.1,309.9
Tony Snell,,SG SF,79,128.4,282.8,16,16,107.3,60.2,20.1,15,20.1,354.1
Doug McDermott,SA,SF PF,67,313.9,634.9,63.2,78.2,187.6,94.3,20.1,8,71.2,835.5
E'Twaun Moore,,SG SF PG,79,162.5,369.1,31.1,40.1,104.3,69.2,31.1,7,43.1,402.2
Rajon Rondo,,SG PG,79,76.2,183.5,16,21.1,100.3,149.4,27.1,0,58.2,191.6
Al-Farouq Aminu,,SF PF,29,41.1,122.4,25.1,34.1,90.3,21.1,13,4,14,121.4
Dwight Powell,DAL,C,70,185.6,288.9,118.4,159.5,391.2,70.2,31.1,31.1,50.2,498.5
Trevor Ariza,,SF PF,59,148.4,377.1,53.2,72.2,242.7,96.3,51.2,23.1,54.2,423.3
Dwight Howard,,C,76,176.5,274.8,113.3,192.6,493.5,48.1,28.1,59.2,94.3,466.4
James Harden,PHI,SG PG,72,467.4,1062.2,455.4,524.6,510.5,680,90.3,40.1,279.8,1551.6
